ven_d,model_d,tac_d
blu,life one m l131l l131u,35192406
xiaomi,redmi note 2 2015055,86905902
micromax,bolt a36,91133985
samsung,galaxy a8 2016 lte sma810s,35992607
karbonn,titanium s11,91143510
huawei,honor 8c bkkl21,86835104
meizu,m355m356,86479302
lg,k5 dual lgx220dsm,35624207
intex,aqua crystal,91156480
lg,k8 dual k350nds,35174708
meizu,pro7,99001031
samsung,galaxy tab a 97 lte smt555y,35958206
karbonn,a99i,91141350
xolo,black,91145100
meizu,m8se,86329100
meizu,m711m,86791203
alcatel,pixi 3 45 4028s,35250507
zte,mf920as8,86092703
lenovo,z2 plus,86216803
prestigio,multipad wize 3g pmt3341,35705407
sony,xperia tablet z 4g so03e,35504505
samsung,galaxy tab s2 97 ltea smt815,35959306
blackview,bv6000s,35182910
allview,x3 soul pro,35837307
huawei,me906c,86404302
huawei,y5 2019 amnlx32,86669804
philips,xenium w732,86485401
huawei,y635 lte dual y635tl00,86616502
intex,aqua lions 3g,91150835
lg,a399,35926005
lg,a399,35965605
zte,grand x v970m,86608201
zte,grand x v970m,86884101
beeline,smart dual,86769602
htc,desire 626 dual d626q 0plq110,35291407
htc,desire 620 0pe6400,35433806
coolpad,5910,86767301
doogee,y6 max,35464108
nokia,ta1074,35338109
allview,p8 energy,35449207
zte,305zt,86463602
turkcell,t50,35354606
karbonn,aura power 4g plus,91157050
acer,iconia b1721,35962105
huawei,e173 e173u81,86769400
micromax,canvas win w121,91138195
zte,blade l3 dual,86229603
ulefone,vienna,35952107
coolpad,7296 max ii,86085002
samsung,galaxy s6 ltea smg920w81,35523408
samsung,galaxy j3 lte smj320f,35600507
zte,blade v8 lite,86324303
zte,blade v8 lite,86430303
samsung,galaxy tab active2 smt395c,35261309
lg,leon 4g dual h342ft,35193607
samsung,galaxy s plus gti9001t,35175705
malata,i8 ritmix rmp451,86881701
huawei,y5ii lte cunl33,86989102
blu,studio g lte,35483707
acer,liquid z3 z130,35973805
hisense,h910t,86789102
lg,f70 f370l,35243306
huawei,b315s b315s608,86705902
archos,50d oxygen,35828007
fly,era nano 9 iq436i,35611906
huawei,mediapad m1 80 s8301u,86422002
mts,smart light,35962709
asus,fonepad note 6 k00g me560cg,35770005
lava,iris x1 beats,91142490
huawei,gr5 2017 blll22,86249503
karbonn,a16,91134435
huawei,ascend p6s p6su06,86278402
sierra wireless,ar7550,35276605
kaliho hk technology development limited,k118,35690904
micromax,x073 dual,91147670
lenovo,pioneer a580,86791401
samsung,galaxy m pro 2 gtb7810,35258905
alcatel,a3 xl dual 9008d,35498408
samsung,galaxy j1 2016 3g smj120h,35625307
dns,s4503 innos i6,86607101
micromax,x601,91144330
samsung,galaxy golden shve400k,35757405
intex,cloud swift,91147550
myphone,city,35935408
philips,xenium x588,86276103
spice,m5700,91110255
explay,polo,86129300
qumo,quest 456,35933105
intex,aqua jewel 2,91160310
huawei,ascend g526 g526l33,86028802
alcatel,one touch pop d5 dual 5038d,86459602
blu,neo x,35829507
lenovo,moto c dual xt17501,35189609
megafon,mr1502 zte mf910v,86750802
yezz,andy 4e2i1,35851106
ark,benefit s451,35308007
sony,xperia gx lt29i hayabusa so04d,35307805
lg,k8 us375,35604507
blu,zoey 24 3g,35452707
meizu,meilan note5,86585403
meizu,meilan note5,86519003
nokia,51 plus ta1108,35693009
ulefone,metal,35299708
acer,iconia tab a1811eu,35677305
lenovo,s868t,86956701
iball,splendour 24e,91138780
huawei,e8278s602,86642501
huawei,enjoy 7 trtlx2,86487603
samsung,galaxy note 3 neo ltea smn750l,35261006
htc,one me9 m9et,35871906
zen,cinemax force,91155035
samsung,galaxy note 3 lite 4g smn7508v,35220306
samsung,galaxy j1 2016 lte smj120w,35711607
huawei,mediapad t5 ags2l091,86055604
karbonn,aura,91144780
gionee,t520,86948101
blu,dash 45 d310a,35776905
alcatel,a7 dual 5090i,35810608
huawei,mediapad t2 80 pro jdnl01,86233603
huawei,honor 6 ltea h60j1,86530402
hisense,u989 pro,86155703
iball,imperial 24a,91138980
motorola,moto x4 usa xt19001,35648408
infocus,in320,35776205
fly,evo chic 1 iq4405,86478301
htc,status ph06130,35732504
xiaomi,redmi note 6 m1806e7tc,86893403
coolpad,8010,86722801
karbonn,a1 indian,91159435
alcatel,one touch pop up 6044d,35465107
vivo,nex dual display v1821t,86786004
samsung,galaxy tab a 105 smt597v1,35840809
bq mobile,aquaris m55 16gb ram 2gb,35462907
meizu,mx5 m575h,86724702
samsung,galaxy core prime ve lte smg361m,35221507
intex,aqua prime 4g,91152810
lg,g4 h810,35790506
alcatel,x602m,86456102
lg,l35 d150,35393106
htc,desire 820 0pfj400,35572106
htc,desire 820 0pfj400,35758606
zte,blade a520c,86707103
freetel,samurai miyabi ftj152c,35422607
doogee,s55,35916909
alcatel,358,86198201
blu,dash l3,35736908
sony,xperia xa f3115 pm0923bv,35812707
motorola,moto x style moto x pure edition xt1575 gr12100345,99000625
bq mobile,bqs3510 aspen mini,35527406
intex,aqua super,91147260
lenovo,golden warrior note 8 a936,86558302
huawei,enjoy 6s digtl101,86488703
meizu,u10 u680d,86186903
samsung,galaxy k zoom smc1116,35398406
huawei,ascend y520 y520u12,86528002
sony,xperia z ultra lte sol24 pm0700bv,35184906
philips,xenium x519,35776104
vivo,y31l2,86059703
huawei,enjoy 7 plus dual trtal00a,86991003
sony,xperia x perfomance dual f8132 pm0944bv,35809607
huawei,honor 7x bndl31,86791603
swipe,konnect me,91144465
xiaomi,mi3s mi2s 2014218 2013021,86568702
motorola,moto z3 play xt19291,35188509
lava,z70,91159250
fly,life mega,35558909
huawei,g play mini chcu23,86678002
samsung,galaxy a7 2017 sma720f,35795108
huawei,mate 10 pro blatl00,86668603
zte,overture 2 z813,86673802
motorola,moto g6 plus dual xt19261,35185209
micromax,canvas turbo mini a200,91135110
sony,xperia z2 ltea d6543,35300406
alcatel,1x 2019 5008a,35187510
vivo,nex s,86945603
lenovo,moto z play droid dual xt1635,35896006
bq mobile,bqs5001 milan,35359006
lg,g flex sprint ls995,99000356
blu,dash l4 lte d0050uu,35470609
allview,soul x5 pro,35837709
samsung,galaxy j2 core smj260m1,35182410
lenovo,a3910t30,86918502
qmobile,b800,35413206
samsung,gear s2 classic smr735t,35793007
nokia,808 pureview rm807,35196505
panasonic,eluga i5,35268409
asus,zenfone 3 max zc520tl x008dc,35386008
dexp,larus e7,35241407
gigabyte,gsmart tuku t2,35777105
motorola,moto e 2nd gen lte indr000945,35332906
zte,blade g lux,86531302
zte,blade g lux,86721802
huawei,e3276s151,86651801
lenovo,a66t,86997100
elephone,m2,35480407
lenovo,a375ea505es820ea385ea860e,86336402
karbonn,titanium s2 plus,91140610
karbonn,aura power,91151460
spice,m6100,91124870
sichuan changhong electric co ltd,artel d83,86979901
vivo,x5 max s,86722902
intex,aqua q4,91143975
lg,f60 dual d392,35540006
huawei,honor 7 dual plkl21,86076703
intex,cloud fx,91140040
wiko,cink slim 2,35346606
alcatel,one touch idol x dual s950,86931001
fly,ezzy 7,35750307
micromax,x367,91133150
huawei,e5730s2,86286802
lava,x46,91151485
alcatel,idol 5 6058x,35847108
philips,x596,86596703
doov,c9,86469602
archos,60 platinum,35811508
asus,zenfone selfie zd551kl z00ud1,35560707
micromax,canvas beat a114r,91134910
lenovo,vibe x2 x2to,86537702
huawei,mate 9 dual mhaal004,86576303
huawei,y5 y560l03,86782002
allview,v3 viper,35435209
videocon,infinium z51 blaze,91147075
lg,k4 lte k120ft,35948107
xiaomi,redmi 3s hongmi 3s 20160301,86297303
elephone,trunk,35454907
motorola,droid razr maxx xt912,35947804
huawei,honor 6x blnl211,86459503
samsung,galaxy a8 sghj633,35267507
intex,aqua e4,91153195
